"i","received","accepted","publication","article_type","year","issue_type"
"https://www.mdpi.com/1660-4601/18/3/925","Submission received: 11 December 2020","Revised: 18 January 2021","Accepted: 19 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/926","Submission received: 9 November 2020","Revised: 15 January 2021","Accepted: 16 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/927","Submission received: 29 November 2020","Revised: 19 January 2021","Accepted: 19 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/928","Submission received: 6 December 2020","Revised: 16 January 2021","Accepted: 18 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/929","Submission received: 21 December 2020","Revised: 15 January 2021","Accepted: 16 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/930","Submission received: 15 December 2020","Revised: 9 January 2021","Accepted: 14 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/931","Submission received: 5 December 2020","Revised: 14 January 2021","Accepted: 16 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/932","Submission received: 12 January 2021","Accepted: 19 January 2021","Published: 21 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/933","Submission received: 28 December 2020","Revised: 16 January 2021","Accepted: 18 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/934","Submission received: 1 December 2020","Revised: 15 January 2021","Accepted: 15 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/935","Submission received: 9 December 2020","Revised: 11 January 2021","Accepted: 15 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/936","Submission received: 13 January 2021","Accepted: 14 January 2021","Published: 22 January 2021","Correction",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/937","Submission received: 2 December 2020","Revised: 6 January 2021","Accepted: 17 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/938","Submission received: 22 December 2020","Revised: 11 January 2021","Accepted: 18 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/939","Submission received: 11 December 2020","Revised: 13 January 2021","Accepted: 19 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/940","Submission received: 23 November 2020","Revised: 14 January 2021","Accepted: 20 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/941","Submission received: 26 November 2020","Revised: 24 December 2020","Accepted: 13 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/942","Submission received: 24 December 2020","Revised: 18 January 2021","Accepted: 19 January 2021","Review",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/943","Submission received: 18 December 2020","Revised: 13 January 2021","Accepted: 20 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/944","Submission received: 25 November 2020","Revised: 19 January 2021","Accepted: 21 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/945","Submission received: 18 January 2021","Accepted: 19 January 2021","Published: 22 January 2021","Addendum",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/946","Submission received: 24 December 2020","Revised: 12 January 2021","Accepted: 19 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/947","Submission received: 17 November 2020","Revised: 12 January 2021","Accepted: 19 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/948","Submission received: 30 November 2020","Revised: 19 January 2021","Accepted: 20 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/949","Submission received: 26 November 2020","Revised: 16 January 2021","Accepted: 18 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/950","Submission received: 25 December 2020","Revised: 13 January 2021","Accepted: 20 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/951","Submission received: 13 November 2020","Revised: 4 January 2021","Accepted: 15 January 2021","Review",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/952","Submission received: 15 December 2020","Revised: 19 January 2021","Accepted: 20 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/953","Submission received: 4 November 2020","Revised: 13 January 2021","Accepted: 18 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/954","Submission received: 12 December 2020","Revised: 16 January 2021","Accepted: 19 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/955","Submission received: 12 December 2020","Revised: 5 January 2021","Accepted: 19 January 2021","Review",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/956","Submission received: 25 November 2020","Revised: 19 January 2021","Accepted: 20 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/957","Submission received: 17 November 2020","Revised: 13 January 2021","Accepted: 15 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/958","Submission received: 30 November 2020","Revised: 18 January 2021","Accepted: 19 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/959","Submission received: 14 December 2020","Revised: 19 January 2021","Accepted: 20 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/960","Submission received: 11 December 2020","Revised: 15 January 2021","Accepted: 19 January 2021","Article",2021,"No"
"https://www.mdpi.com/1660-4601/18/3/961","Submission received: 2 December 2020","Revised: 11 January 2021","Accepted: 14 January 2021","Article",2021,"No"
