"special_issue","num_papers","flags","prop_flag","deadline","latest_sub","rt_sum_vector2","aca_flag","d_over_deadline","ed","fecha_deadline"
"https://www.mdpi.com/journal/ijerph/special_issues/Oral_Diseases",13,1,0.077,2020-06-18,2020-08-16,"1","No info",-59,"Dr. Claudia Dellavia","18 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/Salutogenesis_Coping",13,3,0.231,2020-06-19,2020-07-20,"1,2","No info",-31,"Orna Braun-Lewensohn, Dr. Claude-Helene Mayer","19 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/AITFOHHAE",24,0,0,2020-06-20,2020-08-20,"0","No info",-61,"Elena Rada","20 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/health_water",14,3,0.214,2020-06-30,2020-06-26,"1,2,0","No info",4,"Dr. Luigi Falciola, Valeria Ancona, Dr. Marcello Iriti","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/stigma",24,2,0.083,2020-06-30,2020-08-25,"2,1","No info",-56,"Chung-Ying Lin, Dr. Hector Tsang","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/INHERIT",22,1,0.045,2020-06-30,2020-07-24,"0,0,1","No info",-24,"Ingrid Stegeman, Tim Taylor, Dr. Patrick Saunders","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/bibliometric_studies_worldwide_research_trends_global_health",16,3,0.188,2020-06-30,2020-06-30,"3,1","No info",0,"Dr. Francisco Manzano Agugliaro, Dr. Esther Salmeron-Manzano","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/Water_Hydro-Ecology",22,5,0.227,2020-06-30,2020-07-21,"5,0,0,0","No info",-21,"Dr. Huimin Wang, Dr. Keith W. Hipel, Dr. Liping Fang, Dr. Kevin W. Li","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/WSHR",17,4,0.235,2020-06-30,2020-06-11,"2,2","No info",19,"Matthew Freeman, Thomas F. Clasen","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/aerospace_impact",23,8,0.348,2020-06-30,2020-06-29,"4,5","No info",1,"Dr. Costas Varotsos, Stanislav Szabo","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/Community_Dent_Care",15,4,0.267,2020-06-30,2020-06-30,"4,3","No info",0,"Dr. Chun Hung Chu, Sherry Shiqian Gao","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/Microorganisms",16,4,0.25,2020-06-30,2020-06-27,"4,4","No info",3,"Diby Paul, Udai B. Singh","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/medical_education",17,1,0.059,2020-06-30,2020-06-28,"1","No info",2,"Valentina Lucia La Rosa","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/passive_smoking",14,5,0.357,2020-06-30,2020-09-15,"5,5","No info",-77,"Dr. Matteo Vitali, Carmela Protano","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/globalhealth",12,1,0.083,2020-06-30,2020-08-28,"1","No info",-59,"Dr. Ruoling Chen","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/sexual_health",12,1,0.083,2020-06-30,2020-06-30,"1,1,0","No info",0,"Sonia Dias, Ana Gama, Christiana Nostlinger","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/sustainable_tourism_effects",11,1,0.091,2020-06-30,2020-06-26,"1,1","No info",4,"Dr. Luc Hens, An Thinh Nguyen","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/NCDs_Health",9,5,0.556,2020-06-30,2020-07-03,"4,3","No info",-3,"Dr. Nelia Steyn, Dr. Marjanne Senekal","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/GIS_Spatial",10,1,0.1,2020-06-30,2020-09-01,"1","No info",-63,"Jesse D. Berman","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/Healthcare_Work",5,2,0.4,2020-06-30,2020-06-29,"2","No info",1,"Dr. Tarja Heponiemi","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/emerging_air",5,0,0,2020-06-30,2020-06-30,"0,0","No info",0,"Joseph Pinto, Janice S. Lee","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/occupational_exposure_assessment",7,3,0.429,2020-06-30,2020-07-30,"3,2,2","No info",-30,"Mariella Carrieri, Maria Luisa Scapellato, Dr. Andrea Trevisan","30 June 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/Occu_Health_Psy",51,1,0.02,2020-07-01,2020-08-24,"1,1","No info",-54,"Dr. Nicholas J. Beutell, Dr. Xinyuan (Roy) Zhao","1 July 2020"
"https://www.mdpi.com/journal/ijerph/special_issues/pharmaceutical_research",7,5,0.714,2020-07-30,2020-07-30,"4,3,0","No info",0,"Dr. Zaheer Ud-Din Babar, Rabia Hussain, Jason C. Hsu","30 July 2020"
